Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 19181.99, 19180.82, 19206.05, 19200.34, 59.464117
<module 'time' (built-in)>, 19200.35, 19194.01, 19205.48, 19195.43, 19.629993
<module 'time' (built-in)>, 19195.42, 19194.17, 19205.37, 19205.35, 24.99635
<module 'time' (built-in)>, 19205.35, 19186.09, 19205.36, 19186.1, 29.432852
<module 'time' (built-in)>, 19186.09, 19186.09, 19203.46, 19199.45, 15.670219
<module 'time' (built-in)>, 19199.62, 19191.36, 19201.54, 19200.55, 23.566831
<module 'time' (built-in)>, 19200.54, 19192.91, 19206.77, 19199.02, 23.013289
<module 'time' (built-in)>, 19199.03, 19195.29, 19203.21, 19203.2, 10.446409
<module 'time' (built-in)>, 19203.21, 19195.3, 19203.21, 19195.84, 23.377794
<module 'time' (built-in)>, 19195.84, 19168.88, 19195.84, 19181.33, 60.774013
<module 'time' (built-in)>, 19181.34, 19181.34, 19206.74, 19198.33, 47.100953
<module 'time' (built-in)>, 19198.33, 19195.76, 19206.76, 19203.46, 12.627555
<module 'time' (built-in)>, 19203.46, 19200.25, 19208.62, 19205.31, 32.763022
<module 'time' (built-in)>, 19205.32, 19200.96, 19217.64, 19212.2, 42.465632
<module 'time' (built-in)>, 19212.2, 19168.89, 19212.2, 19181.68, 37.816294
<module 'time' (built-in)>, 19183.11, 19182.05, 19204.32, 19197.92, 28.834774
<module 'time' (built-in)>, 19197.91, 19190.37, 19202.71, 19200.0, 23.354551
<module 'time' (built-in)>, 19200.0, 19191.17, 19203.64, 19199.34, 14.466407
<module 'time' (built-in)>, 19199.34, 19193.99, 19204.32, 19204.32, 12.043499
<module 'time' (built-in)>, 19204.31, 19193.14, 19204.32, 19199.87, 17.115233
<module 'time' (built-in)>, 19199.87, 19192.53, 19217.64, 19216.13, 29.786109
<module 'time' (built-in)>, 19216.13, 19203.22, 19216.98, 19207.26, 26.3788
<module 'time' (built-in)>, 19208.16, 19200.0, 19209.04, 19200.32, 22.372899
<module 'time' (built-in)>, 19200.31, 19200.0, 19209.72, 19204.79, 30.961598
<module 'time' (built-in)>, 19204.79, 19181.95, 19205.08, 19186.59, 33.270593
<module 'time' (built-in)>, 19186.56, 19181.99, 19197.9, 19196.87, 17.607802
<module 'time' (built-in)>, 19196.88, 19192.02, 19211.83, 19206.46, 42.005759
<module 'time' (built-in)>, 19206.47, 19202.44, 19209.62, 19205.68, 18.314027
<module 'time' (built-in)>, 19205.68, 19200.0, 19209.04, 19200.3, 18.31279
<module 'time' (built-in)>, 19200.3, 19194.99, 19208.35, 19198.33, 24.642027
<module 'time' (built-in)>, 19199.16, 19199.16, 19211.41, 19206.72, 25.553128
<module 'time' (built-in)>, 19206.71, 19196.79, 19216.62, 19213.82, 43.869615
<module 'time' (built-in)>, 19213.82, 19211.13, 19218.7, 19217.24, 27.124306
<module 'time' (built-in)>, 19217.25, 19212.65, 19220.0, 19213.55, 20.942476
<module 'time' (built-in)>, 19213.54, 19213.52, 19220.0, 19217.85, 17.631526
<module 'time' (built-in)>, 19217.85, 19217.85, 19249.98, 19249.51, 89.068203
<module 'time' (built-in)>, 19249.52, 19240.0, 19257.03, 19241.89, 94.252822
<module 'time' (built-in)>, 19241.13, 19238.77, 19250.15, 19239.19, 62.628624
<module 'time' (built-in)>, 19239.19, 19228.27, 19243.0, 19240.1, 24.129111
<module 'time' (built-in)>, 19240.09, 19233.75, 19251.31, 19233.84, 26.326211
<module 'time' (built-in)>, 19233.84, 19224.77, 19233.84, 19226.31, 15.721154
<module 'time' (built-in)>, 19227.11, 19224.55, 19237.62, 19233.07, 21.737405
<module 'time' (built-in)>, 19233.08, 19228.21, 19233.08, 19232.26, 12.978092
<module 'time' (built-in)>, 19232.26, 19210.62, 19232.26, 19210.62, 22.874416
<module 'time' (built-in)>, 19212.07, 19210.54, 19217.94, 19215.36, 17.653291
<module 'time' (built-in)>, 19215.65, 19206.43, 19220.35, 19210.88, 23.688872
<module 'time' (built-in)>, 19210.89, 19206.11, 19225.08, 19215.06, 30.37508
<module 'time' (built-in)>, 19215.06, 19200.54, 19216.75, 19205.01, 33.395808
<module 'time' (built-in)>, 19205.0, 19204.55, 19220.69, 19214.83, 18.934663
<module 'time' (built-in)>, 19215.41, 19206.7, 19218.39, 19208.96, 24.241315
<module 'time' (built-in)>, 19208.96, 19206.41, 19217.68, 19210.24, 25.518795
<module 'time' (built-in)>, 19210.24, 19205.43, 19218.48, 19215.94, 36.687976
<module 'time' (built-in)>, 19215.94, 19203.34, 19217.49, 19211.74, 48.93842
<module 'time' (built-in)>, 19211.73, 19200.0, 19211.73, 19202.11, 26.511861
<module 'time' (built-in)>, 19202.1, 19200.0, 19204.74, 19201.99, 19.36772
<module 'time' (built-in)>, 19201.99, 19200.58, 19204.41, 19202.06, 10.426318
<module 'time' (built-in)>, 19202.06, 19200.59, 19214.41, 19213.1, 14.514219
<module 'time' (built-in)>, 19213.1, 19209.87, 19217.06, 19212.27, 14.330149
<module 'time' (built-in)>, 19212.28, 19212.28, 19224.41, 19219.94, 21.505961
<module 'time' (built-in)>, 19219.89, 19204.33, 19219.9, 19205.76, 17.550568
