Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 7510.11, 7008.35, 7650.0, 7118.59, 252294.980408
<module 'time' (built-in)>, 7119.6, 6435.0, 7518.54, 7501.44, 339611.461697
<module 'time' (built-in)>, 7500.71, 7076.42, 7695.38, 7388.24, 267312.086935
<module 'time' (built-in)>, 7388.43, 6871.04, 7495.0, 7358.75, 241051.798444
<module 'time' (built-in)>, 7357.64, 7346.76, 8455.0, 8184.98, 498017.846898
<module 'time' (built-in)>, 8184.97, 8055.89, 9198.98, 8701.7, 468235.627496
<module 'time' (built-in)>, 8701.72, 8238.0, 8818.0, 8615.0, 250977.001765
<module 'time' (built-in)>, 8614.39, 8535.0, 9578.0, 9331.51, 362870.208388
<module 'time' (built-in)>, 9331.59, 9093.01, 10166.0, 10151.75, 364995.864834
<module 'time' (built-in)>, 10151.72, 9638.12, 10500.0, 9917.27, 427067.585189
<module 'time' (built-in)>, 9910.7, 9350.0, 10250.0, 9936.4, 360700.467719
<module 'time' (built-in)>, 9936.4, 8411.0, 9990.0, 8531.88, 426585.458707
<module 'time' (built-in)>, 8530.3, 8000.0, 9188.0, 8033.31, 379197.13168
<module 'time' (built-in)>, 8034.76, 3782.13, 8179.31, 5361.3, 1224228.28324
<module 'time' (built-in)>, 5360.33, 4442.12, 6900.0, 5816.19, 1180843.345815
<module 'time' (built-in)>, 5816.05, 5688.0, 6957.96, 5881.42, 770380.80536
<module 'time' (built-in)>, 5880.5, 5857.76, 7198.0, 6772.78, 664784.299583
<module 'time' (built-in)>, 6772.78, 6739.98, 7459.69, 6903.79, 582804.771087
<module 'time' (built-in)>, 6903.79, 6468.27, 7293.08, 7120.74, 501345.258903
<module 'time' (built-in)>, 7121.4, 6751.0, 7738.0, 7693.1, 469098.312947
<module 'time' (built-in)>, 7693.1, 7606.0, 9460.0, 8894.16, 742165.162104
<module 'time' (built-in)>, 8894.15, 8117.0, 10067.0, 8722.77, 780478.849466
<module 'time' (built-in)>, 8722.77, 8200.0, 9939.0, 9680.04, 721487.837087
<module 'time' (built-in)>, 9681.11, 8700.0, 9950.0, 8720.34, 517248.177536
<module 'time' (built-in)>, 8718.14, 8642.72, 9740.0, 9448.27, 425528.246167
<module 'time' (built-in)>, 9448.27, 9266.0, 10380.0, 9746.99, 427822.495347
<module 'time' (built-in)>, 9746.99, 9113.0, 9992.72, 9342.1, 336172.771517
<module 'time' (built-in)>, 9342.1, 8910.45, 9589.0, 9294.69, 323565.711842
<module 'time' (built-in)>, 9294.69, 8833.0, 9780.0, 9116.35, 343601.083154
<module 'time' (built-in)>, 9116.16, 8893.03, 9292.0, 9069.41, 247256.195125
<module 'time' (built-in)>, 9069.41, 9055.92, 9470.0, 9302.75, 284964.999673
<module 'time' (built-in)>, 9303.31, 9047.25, 9343.82, 9208.99, 247602.692095
<module 'time' (built-in)>, 9208.99, 9131.0, 10111.0, 9931.54, 346433.535115
<module 'time' (built-in)>, 9931.54, 9917.21, 12123.46, 11071.35, 637793.811724
<module 'time' (built-in)>, 11071.36, 10936.0, 11909.94, 11681.68, 403167.45146
<module 'time' (built-in)>, 11681.69, 11125.0, 12067.35, 11911.0, 468167.72232
<module 'time' (built-in)>, 11910.99, 11376.81, 12468.0, 11648.13, 426710.483502
<module 'time' (built-in)>, 11648.12, 11117.64, 11824.9, 11711.16, 355153.169372
<module 'time' (built-in)>, 11711.17, 9825.0, 12050.85, 10256.2, 581777.756525
<module 'time' (built-in)>, 10255.89, 9850.0, 10580.11, 10332.83, 366759.994048
<module 'time' (built-in)>, 10332.84, 10212.34, 11179.79, 10920.28, 374339.558814
<module 'time' (built-in)>, 10920.28, 10136.82, 10988.86, 10774.25, 331299.291081
<module 'time' (built-in)>, 10774.26, 10374.0, 10950.0, 10666.63, 288073.126989
<module 'time' (built-in)>, 10666.62, 10525.0, 11491.0, 11369.02, 288404.145494
<module 'time' (built-in)>, 11369.02, 11172.0, 11720.01, 11503.14, 279657.097047
<module 'time' (built-in)>, 11503.14, 11407.96, 13350.0, 13028.83, 418993.354681
<module 'time' (built-in)>, 13029.64, 12765.0, 14100.0, 13761.5, 485344.056262
<module 'time' (built-in)>, 13761.49, 13195.05, 15960.0, 15475.1, 665037.146452
<module 'time' (built-in)>, 15475.1, 14805.54, 16480.0, 15957.0, 529729.426496
<module 'time' (built-in)>, 15957.0, 15864.0, 18965.9, 18414.43, 684197.642829
<module 'time' (built-in)>, 18413.88, 16188.0, 19484.21, 18184.99, 676351.579974
<module 'time' (built-in)>, 18185.0, 18001.12, 19888.0, 19101.51, 478880.916318
